CountryOfOrigin	Cupper.Points	Acidity	Balance
Mexico	7.5	7.58	7.42
Mexico	7.58	7.58	7.5
Mexico	7.5	7.92	7.67
Mexico	7.42	7.67	7.58
Mexico	7.42	7.42	7.5
Mexico	7.5	7.58	7.5
Mexico	7.58	7.58	7.33
Mexico	7.5	7.5	7.5
Mexico	7.58	7.5	7.5
Mexico	7.58	7.58	7.5
Mexico	7.5	7.42	7.33
Mexico	7.5	7.67	7.33
Mexico	7.5	7.5	7.5
Mexico	7.42	7.5	7.42
Mexico	7.58	7.33	7.58
Mexico	7	7.58	7.5
Mexico	7.83	7.33	7.67
Mexico	7.42	7.42	7.42
Mexico	7.58	7.17	7.42
Mexico	7.33	7.67	7.42
Mexico	7.33	7.5	7.42
Mexico	7.42	7.67	7.5
Mexico	7.42	7.58	7.5
Mexico	7.33	7.42	8.17
Mexico	7.5	7.42	7.42
Mexico	7.67	7.5	7.5
Mexico	7.5	7.5	7.33
Mexico	7.58	7.5	7.5
Mexico	7.42	7.33	7.42
Mexico	7.5	7.5	7.5
Mexico	7.33	7.58	7.33
Mexico	7.33	7.75	7.42
Mexico	7.42	7.5	7.42
Mexico	7.25	7.58	7.25
Mexico	7.42	7.25	7.5
Mexico	7.58	7.5	7.33
Mexico	7.5	7.58	7.33
Mexico	7.33	7.83	7.5
Mexico	7.42	7.5	7.33
Mexico	7.5	7.5	7.42
Mexico	7.25	7.58	7.33
Mexico	7.42	7.5	7.5
Mexico	7.5	7.42	7.25
Mexico	7.25	7.67	7.42
Mexico	7.25	7.58	7.33
Mexico	7.33	7.67	7.25
Mexico	7.33	7.33	7.25
Mexico	7.42	8	7.5
Mexico	7.42	7.58	7.33
Mexico	7.58	7.67	7.58
Mexico	7.08	7.75	7.25
Mexico	7.17	7.42	7.42
Mexico	7.42	7.58	7.17
Mexico	7.67	7.17	7.33
Mexico	7.33	7.5	7.42
Mexico	7.33	7.5	7.17
Mexico	7.67	7.58	7.42
Mexico	7.25	7.42	7.5
Mexico	7.17	7.42	7.33
Mexico	7.08	7.42	8
Mexico	7.25	7.33	7.42
Mexico	7.5	7.17	7.42
Mexico	7.42	7.5	7.58
Mexico	7.25	7.33	7.33
Mexico	7.33	7.17	7.42
Mexico	7.58	7.17	7.42
Mexico	7.25	7.25	7.33
Mexico	7.17	7.42	7.08
Mexico	7.25	7.33	7.25
Mexico	7.25	7.42	7.33
Mexico	7.5	7.33	7.42
Mexico	7.17	7.25	7.25
Mexico	7.08	7.75	7.17
Mexico	7.25	7.33	7.33
Mexico	7.08	7.42	7.42
Mexico	7.25	7.42	7.25
Mexico	7.25	7.42	7.25
Mexico	7.25	7.33	7.25
Mexico	7.5	7.67	7.5
Mexico	7.33	7.42	7.33
Mexico	7	7.5	7.25
Mexico	7.33	7.42	7.33
Mexico	7.17	7.33	7.17
Mexico	7.25	7.25	7.17
Mexico	7.5	7.25	7.5
Mexico	7.25	7.25	7.42
Mexico	7.17	7.33	7.17
Mexico	7.25	7.5	7.17
Mexico	7.08	7.33	7.17
Mexico	7.08	7.33	7.17
Mexico	7.17	7.33	7
Mexico	7.17	7.25	7
Mexico	7.08	7.42	7.08
Mexico	7.42	7.5	7.17
Mexico	7	7.08	7
Mexico	7.08	7.08	7.08
Mexico	7.08	7.17	7.17
Mexico	7.42	7.5	7.5
Mexico	7.25	7.17	7.33
Mexico	7.17	7.33	7
Mexico	7.17	7.33	7.17
Mexico	7	7.25	7.08
Mexico	6.75	7.17	7.08
Mexico	7.33	7.08	7.33
Mexico	7.25	7.42	7.17
Mexico	7	7.58	7.08
Mexico	6.83	7.25	7
Mexico	6.67	7	6.92
Mexico	6.83	7.58	6.92
Mexico	7	7.17	7.08
Mexico	6.92	7.08	7
Mexico	7	7.08	7
Mexico	7.33	7.08	7.08
Mexico	6.83	7.58	6.58
Mexico	7.33	6.75	7
Mexico	7.08	7.17	7.08
Mexico	6.92	7.33	7.08
Mexico	6.92	7.33	7
Mexico	7	7.25	7.08
Mexico	7	7.25	7.17
Mexico	6.83	7.42	7.17
Mexico	6.83	7.33	6.92
Mexico	7	7.17	7.08
Mexico	6.92	7.17	7.08
Mexico	7.17	7.08	7.17
Mexico	6.92	7.08	7
Mexico	6.92	7.25	7.08
Mexico	6.83	7.25	7.08
Mexico	6.92	7.33	7
Mexico	7.25	7.17	7.08
Mexico	7	7.25	7.08
Mexico	7	7.5	7
Mexico	6.83	7.25	6.92
Mexico	7	7.08	7.25
Mexico	6.75	7.08	6.75
Mexico	6.67	7	7
Mexico	7	7.25	7
Mexico	7	7.33	7.17
Mexico	6.83	7.25	6.92
Mexico	6.67	7.33	6.92
Mexico	7.5	7.92	7.5
Mexico	7.17	6.92	7.58
Mexico	6.83	7	6.92
Mexico	6.92	6.83	7.08
Mexico	7.17	7.17	7
Mexico	7.75	7.5	7.42
Mexico	6.75	7.25	6.92
Mexico	7.08	7	7.08
Mexico	6.92	7	7.08
Mexico	6.67	6.75	6.75
Mexico	6.83	7	6.92
Mexico	6.92	7.25	7.25
Mexico	6.58	6.83	6.92
Mexico	6.58	7	6.58
Mexico	6.75	7.08	6.83
Mexico	6.58	7.17	7.08
Mexico	6.83	7	6.83
Mexico	6.58	6.83	7.75
Mexico	6.67	7.08	6.83
Mexico	6.75	7.17	6.67
Mexico	6.75	6.92	6.83
Mexico	6.42	7	6.75
Mexico	7	7.25	7
Mexico	6.75	7.5	6.83
Mexico	6.67	6.83	6.83
Mexico	6.5	7.33	6.75
Mexico	7.08	7.58	7.33
Mexico	6.92	7.08	6.92
Mexico	6.58	6.92	7
Mexico	6.42	7.17	6.5
Mexico	6.75	6.92	6.92
Mexico	6.75	7.42	6.75
Myanmar	7.33	7.42	7.33
Myanmar	7.42	7.5	7.33
Myanmar	7.42	7.58	7
Myanmar	7.17	7.58	7.08
Myanmar	7.08	7.42	7.08
Myanmar	6.83	7.33	6.92
Myanmar	7.25	7	7.33
Myanmar	6.92	7.42	7
Nicaragua	8	8.33	8.08
Nicaragua	8.5	7.83	7.67
Nicaragua	7.83	7.5	7.83
Nicaragua	7.5	7.67	7.58
Nicaragua	7.92	7.92	8.08
Nicaragua	7.5	7.42	7.42
Nicaragua	7.33	7.17	7.67
Nicaragua	7.33	7.25	7.25
Nicaragua	7.33	7.33	7.33
Nicaragua	7.5	7.17	7.25
Nicaragua	7.25	7.17	7.17
Nicaragua	7	7.42	7.33
Nicaragua	7.33	7	7.42
Nicaragua	7.25	7.25	7.25
Nicaragua	7.33	7.25	7
Nicaragua	7.25	7.25	7.25
Nicaragua	7.17	7.33	7.08
Nicaragua	7.08	7.25	7.25
Nicaragua	7	7.08	7.17
Nicaragua	7.17	6.92	7.08
Nicaragua	7	7.42	7
Nicaragua	6.75	7	7
Nicaragua	6.92	6.83	6.92
Nicaragua	6.67	6.75	7.08
Nicaragua	7.17	7.17	7
Nicaragua	6.17	6.25	6.08
Panama	8	8.08	8
Panama	7.83	7.83	8.58
Panama	7.58	7.58	7.75
Panama	7.17	7.33	7.17
Papua New Guinea	7.92	8.33	8.25
Peru	8.5	8.5	8.25
Peru	8	8.08	7.75
Peru	7.92	7.75	7.83
Peru	7.5	7.83	7.58
Peru	7.5	7.58	7.5
Peru	7.5	7.75	7.58
Peru	7.25	7.33	7.42
Peru	7.17	7.25	7.42
Peru	7	7.25	7.5
Peru	7.67	7.67	7.83
Philippines	7.5	7.58	7.5
Philippines	7.42	7.42	7.5
Philippines	7.33	7.33	7.5
Philippines	7.25	7.08	7.5
Philippines	6.67	6.92	7
Rwanda	8	7.83	7.75
Taiwan	8.17	8.25	8.17
Taiwan	8.42	8.08	7.83
Taiwan	7.92	7.58	7.92
Taiwan	8	7.83	7.83
Taiwan	7.75	7.75	7.75
Taiwan	7.75	8	7.75
Taiwan	7.67	7.67	7.83
Taiwan	7.92	7.67	7.83
Taiwan	7.83	7.75	7.75
Taiwan	7.67	7.75	7.67
Taiwan	7.17	7.92	7.33
Taiwan	7.75	7.75	7.67
Taiwan	7.83	7.75	7.75
Taiwan	7.75	7.58	7.83
Taiwan	7.75	7.92	7.67
Taiwan	7.5	7.75	7.58
Taiwan	10	7.17	7
Taiwan	10	7.08	7
Taiwan	7.58	7.5	7.83
Taiwan	7.33	7.58	7.33
Taiwan	7.75	7.83	7.25
Taiwan	7.58	7.5	7.5
Taiwan	7.17	7.58	7.25
Taiwan	7.75	7.67	7.58
Taiwan	7.58	7.33	7.75
Taiwan	7.67	7.67	7.67
Taiwan	7.08	7.42	7.25
Taiwan	7.5	7.5	7.5
Taiwan	7.5	7.42	7.5
Taiwan	10	7.08	7
Taiwan	7.33	7.5	7.5
Taiwan	7.33	7.5	7.5
Taiwan	10	7.17	7
Taiwan	7.25	7.5	7.5
Taiwan	7.17	7.5	7.5
Taiwan	7.58	7.17	7.58
Taiwan	7.75	7.42	7.33
Taiwan	7.42	7.42	7.5
Taiwan	7.25	7.25	7.5
Taiwan	7.33	7.25	7.33
Taiwan	7.25	7.25	7.25
Taiwan	7.25	7.42	7.33
Taiwan	7.25	7.67	7.25
Taiwan	7	7.08	8.25
Taiwan	7.33	7.08	7.25
Taiwan	7.5	7.33	7.5
Taiwan	7.42	7.25	7.33
Taiwan	7.08	7.17	7.08
Taiwan	5.25	7.83	7.75
Taiwan	7.25	7.25	7.25
Taiwan	7.33	7.25	7.33
Taiwan	7.25	7.33	7.33
Taiwan	7.25	7.33	7.25
Taiwan	6.75	7.08	7.08
Taiwan	7.25	7.25	7.25
Taiwan	7.17	7.08	8.08
Taiwan	7.25	7.25	7.25
Taiwan	7.33	7.08	7.33
Taiwan	7.17	7.42	7.25
Taiwan	7	7.17	7.17
Taiwan	7	7.25	7.25
Taiwan	7	7.25	7.25
Taiwan	7	7.25	7.25
Taiwan	7	7.17	7
Taiwan	7	7.25	7
Taiwan	7	7	7.08
Taiwan	7	7.08	7.08
Taiwan	7	7	7
Taiwan	7.33	7.33	7.83
Taiwan	7	7	7.17
Taiwan	7	7	7
Taiwan	6.75	7.25	7.08
Taiwan	6.67	7.25	6.92
Taiwan	7.25	7.17	7.5
Taiwan	6.67	7.33	7.17
Tanzania, United Republic Of	8.17	8	8
Tanzania, United Republic Of	7.83	7.92	7.75
Tanzania, United Republic Of	7.83	7.83	7.67
Tanzania, United Republic Of	7.75	7.75	7.75
Tanzania, United Republic Of	7.67	7.75	7.58
Tanzania, United Republic Of	7.58	7.67	7.58
Tanzania, United Republic Of	7.58	7.67	7.58
Tanzania, United Republic Of	7.58	7.58	7.58
Tanzania, United Republic Of	7.58	7.67	7.58
Tanzania, United Republic Of	7.67	7.58	7.58
Tanzania, United Republic Of	7.58	7.75	7.58
Tanzania, United Republic Of	7.75	7.25	7.75
Tanzania, United Republic Of	7.58	7.5	7.58
Tanzania, United Republic Of	7.58	7.58	7.58
Tanzania, United Republic Of	7.5	7.5	7.5
Tanzania, United Republic Of	7.5	7.58	7.5
Tanzania, United Republic Of	7.58	7.58	7.58
Tanzania, United Republic Of	7.58	7.42	7.42
Tanzania, United Republic Of	7.5	7.33	7.42
Tanzania, United Republic Of	7.58	7.5	7.33
Tanzania, United Republic Of	7.25	7.58	7.42
Tanzania, United Republic Of	7.42	7.42	7.58
Tanzania, United Republic Of	7.5	7.33	7.5
Tanzania, United Republic Of	7.42	7.42	7.42
Tanzania, United Republic Of	7.5	7.58	7.42
Tanzania, United Republic Of	7.42	7.42	7.58
Tanzania, United Republic Of	7.42	7.42	7.33
Tanzania, United Republic Of	7.58	7.42	7.33
Tanzania, United Republic Of	7.33	7.42	7.42
Tanzania, United Republic Of	7.5	7.25	7.33
Tanzania, United Republic Of	7.25	7.42	7.33
Tanzania, United Republic Of	7.42	7.5	7.42
Tanzania, United Republic Of	7.17	7.33	7.17
Tanzania, United Republic Of	7.33	7.33	7.25
Tanzania, United Republic Of	7.17	7.25	7.33
Tanzania, United Republic Of	7.33	7.42	7.33
Tanzania, United Republic Of	7.25	7.25	7.33
Tanzania, United Republic Of	7.25	7.33	7.25
Tanzania, United Republic Of	7.17	7.25	7.08
Tanzania, United Republic Of	7.08	7.25	7.08
Thailand	8.42	8.25	7.92
Thailand	8	7.75	7.75
Thailand	8	7.42	7.67
Thailand	8.42	8.42	8.17
Thailand	8	7.75	7.75
Thailand	7.83	7.67	7.83
Thailand	7.5	8	7.58
Thailand	7.75	7.58	7.83
Thailand	7.75	7.83	7.58
Thailand	7.67	7.5	7.67
Thailand	7.83	7.92	7.42
Thailand	7.5	7.75	7.67
Thailand	7.5	7.5	7.67
Thailand	7.42	7.75	7.5
Thailand	7.75	7.17	8
Thailand	7.5	7.67	7.5
Thailand	7.58	7.33	7.83
Thailand	7.5	7.67	7.5
Thailand	7.5	7.42	7.5
Thailand	7.83	7.75	7.42
Thailand	7.5	7.5	7.5
Thailand	7.5	7.75	7.67
Thailand	7.33	7.42	7.42
Thailand	7.33	7.58	7.5
Thailand	7.33	7.5	7.33
Thailand	7.42	7.17	7.42
Thailand	7.17	7.42	7.17
Thailand	6.83	7.33	7
Thailand	7	7.42	7.08
Thailand	7	7.5	6.92
Thailand	7.08	7.42	7.08
Thailand	7.17	7	6.92
Uganda	8.17	8.17	7.92
Uganda	8.08	7.92	7.92
Uganda	7.92	8.08	7.92
Uganda	8	8.08	7.75
Uganda	8.08	7.92	7.92
Uganda	8	7.67	7.83
Uganda	8	7.75	7.75
Uganda	7.83	7.67	7.75
Uganda	7.83	7.92	7.75
Uganda	7.83	7.75	7.75
Uganda	7.67	7.67	7.58
Uganda	7.67	7.83	7.75
Uganda	7.58	7.67	7.83
Uganda	7.67	7.75	7.5
Uganda	7.67	7.75	7.67
Uganda	7.75	7.75	7.58
Uganda	7.67	7.42	7.67
Uganda	7.67	7.42	7.58
Uganda	7.58	7.42	7.5
Uganda	7.67	7.58	7.5
Uganda	7.5	7.5	7.5
Uganda	7.58	7.58	7.42
Uganda	7.5	7.5	7.5
Uganda	7.5	7.67	7.5
Uganda	7.42	7.58	7.42
Uganda	7.42	7.33	7.42
United States (Hawaii)	8.58	8.25	8
United States (Hawaii)	8.33	7.92	7.83
United States (Hawaii)	8.25	7.75	7.83
United States (Hawaii)	8.17	8	7.83
United States (Hawaii)	8	7.75	8
United States (Hawaii)	8.25	7.92	7.92
United States (Hawaii)	7.92	7.92	8.17
United States (Hawaii)	8.17	8	8
United States (Hawaii)	7.92	7.83	7.75
United States (Hawaii)	7.83	7.75	8
United States (Hawaii)	8.08	7.75	8
United States (Hawaii)	7.83	7.83	7.92
United States (Hawaii)	7.83	7.92	8.08
United States (Hawaii)	8	7.83	8.08
United States (Hawaii)	7.75	7.58	8.25
United States (Hawaii)	7.75	7.67	7.5
United States (Hawaii)	8.17	8.08	8
United States (Hawaii)	7.58	7.92	7.67
United States (Hawaii)	7.67	7.58	7.67
United States (Hawaii)	7.5	7.67	7.58
United States (Hawaii)	7.83	7.67	8
United States (Hawaii)	7.83	7.83	7.67
United States (Hawaii)	7.92	7.75	7.58
United States (Hawaii)	7.5	7.5	7.67
United States (Hawaii)	7.67	8	7.67
United States (Hawaii)	7.58	7.42	7.67
United States (Hawaii)	7.58	7.33	7.67
United States (Hawaii)	7.5	7.17	7.67
United States (Hawaii)	8.08	7.67	8
United States (Hawaii)	7.42	7.92	7.58
United States (Hawaii)	8.08	7.83	7.83
United States (Hawaii)	7.67	7.58	7.67
United States (Hawaii)	7.5	7.42	7.83
United States (Hawaii)	7.42	7.83	7.5
United States (Hawaii)	7.75	7.75	8
United States (Hawaii)	7.75	7.83	7.67
United States (Hawaii)	7.42	7.83	7.42
United States (Hawaii)	7.58	7.67	7.58
United States (Hawaii)	7.58	7.75	7.67
United States (Hawaii)	7.42	7.67	7.42
United States (Hawaii)	7.5	7.25	7.42
United States (Hawaii)	7.42	7.58	7.83
United States (Hawaii)	8	8	7.83
United States (Hawaii)	7.33	7.67	7.75
United States (Hawaii)	7.25	7.33	7.83
United States (Hawaii)	7.33	7.5	7.83
United States (Hawaii)	6.92	7.58	7.5
United States (Hawaii)	7.75	7.67	7.67
United States (Hawaii)	7.33	7.58	7.17
United States (Hawaii)	7.25	7.17	7.25
United States (Hawaii)	7	7.25	7.5
United States (Hawaii)	6.92	7.25	7.67
United States (Hawaii)	7.83	7.92	7.83
United States (Hawaii)	7.17	7.58	7.42
United States (Hawaii)	7.08	7.33	7.33
United States (Hawaii)	7.33	7.67	7.58
United States (Hawaii)	7.42	7.33	7.33
United States (Hawaii)	7	6.92	7.17
United States (Hawaii)	7.58	7.42	7.58
United States (Hawaii)	7.17	7.17	7.17
United States (Hawaii)	7.17	7.25	7.42
United States (Hawaii)	7.25	7.42	7.33
United States (Hawaii)	7.83	7.83	7.92
United States (Hawaii)	7.42	7.58	7.42
United States (Hawaii)	7.25	7.5	7.75
United States (Hawaii)	7.33	7.42	7.33
United States (Hawaii)	7.58	7.67	7.42
United States (Hawaii)	6.75	6.67	7.42
United States (Hawaii)	7.08	7.17	6.83
United States (Hawaii)	7.5	7.58	7.25
United States (Hawaii)	7.33	7.25	7.33
United States (Hawaii)	7.33	7.58	6.92
United States (Hawaii)	6.92	7.5	7.17
United States (Puerto Rico)	7.75	7.67	8.17
United States (Puerto Rico)	7.42	7.83	7.83
United States (Puerto Rico)	8.5	7.58	7.67
United States (Puerto Rico)	6.92	7.33	6.92
Vietnam	7.58	7.33	8.58
Vietnam	8	7.58	7.67
Vietnam	7.67	7.58	7.42
Vietnam	7.92	7.42	7.42
Vietnam	7.42	7.08	7.08
Vietnam	8	7.5	7.33
Vietnam	7.25	7.58	7.33
Zambia	7.25	7.33	7.42
	7.25	6.83	7.5
